,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,Q
7351,0.045,0.021,0.053,0.014,0.05,0.1,0.134,0.02,0.085,0.078,0.03,0.063,0.059,0.129,0.008,0.05,0.061,0.0,0.0,0.0,291.81679317846414
10713,0.041,0.041,0.027,0.096,0.047,0.016,0.016,0.035,0.062,0.108,0.007,0.099,0.01,0.099,0.005,0.08,0.005,0.069,0.079,0.058,285.8303228772766
4884,0.074,0.118,0.106,0.019,0.061,0.057,0.063,0.067,0.096,0.095,0.05,0.047,0.039,0.108,0.0,0.0,0.0,0.0,0.0,0.0,247.23939826571612
3807,0.055,0.058,0.141,0.061,0.092,0.02,0.134,0.026,0.126,0.081,0.039,0.12,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.18381226799573
249,0.04,0.047,0.149,0.137,0.095,0.146,0.157,0.153,0.017,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.2165437549909
12,0.166,0.103,0.151,0.158,0.11,0.049,0.086,0.146,0.012,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.17823255553583
434,0.038,0.005,0.035,0.196,0.129,0.155,0.179,0.218,0.027,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.00082334475326
415,0.039,0.159,0.188,0.102,0.153,0.155,0.03,0.127,0.011,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.48590898431576
93,0.005,0.116,0.03,0.2,0.102,0.2,0.164,0.143,0.033,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.7839296720811
110,0.013,0.048,0.182,0.012,0.205,0.155,0.208,0.117,0.019,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.3048480335234
865,0.015,0.122,0.007,0.153,0.106,0.25,0.014,0.112,0.081,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.7142719351831
569,0.007,0.181,0.082,0.018,0.13,0.205,0.068,0.041,0.217,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.5175715837088
598,0.018,0.163,0.043,0.102,0.142,0.208,0.064,0.137,0.106,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.22050927046223
702,0.009,0.191,0.016,0.087,0.083,0.237,0.03,0.157,0.134,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.9733230051294
1848,0.015,0.052,0.096,0.211,0.112,0.188,0.032,0.189,0.058,0.021,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.1456973233526
