r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,Q
0.062,0.109,0.082,0.025,0.165,0.147,0.131,0.146,0.102,0.031,0,0,0,0,0,0,0,0,0,0,638.2464604
0.113,0.078,0.018,0.218,0.038,0.012,0.175,0.141,0.154,0.053,0,0,0,0,0,0,0,0,0,0,436.7956698
0.01,0.157,0.124,0.099,0.134,0.103,0.031,0.121,0.061,0.16,0,0,0,0,0,0,0,0,0,0,2025.416221
0.074,0.164,0.038,0.128,0.079,0.046,0.137,0.1,0.038,0.196,0,0,0,0,0,0,0,0,0,0,570.6901781
0.125,0.097,0.083,0.039,0.106,0.153,0.163,0.116,0.106,0.012,0,0,0,0,0,0,0,0,0,0,409.7364351
0.104,0.034,0.162,0.105,0.122,0.058,0.075,0.141,0.073,0.126,0,0,0,0,0,0,0,0,0,0,460.2704166
0.13,0.089,0.104,0.181,0.087,0.032,0.122,0.121,0.028,0.106,0,0,0,0,0,0,0,0,0,0,399.6481029
0.061,0.168,0.153,0.131,0.084,0.065,0.058,0.096,0.01,0.174,0,0,0,0,0,0,0,0,0,0,644.5252409
0.064,0.077,0.17,0.225,0.078,0.196,0.011,0.085,0.056,0.038,0,0,0,0,0,0,0,0,0,0,625.2094542
0.117,0.123,0.092,0.154,0.082,0.073,0.13,0.135,0.037,0.057,0,0,0,0,0,0,0,0,0,0,427.1492939
0.074,0.079,0.158,0.099,0.134,0.011,0.097,0.151,0.13,0.067,0,0,0,0,0,0,0,0,0,0,570.6751001
0.077,0.049,0.133,0.135,0.094,0.026,0.158,0.045,0.123,0.16,0,0,0,0,0,0,0,0,0,0,556.6199922
0.166,0.103,0.151,0.158,0.11,0.049,0.086,0.146,0.012,0.019,0,0,0,0,0,0,0,0,0,0,342.3302726
0.136,0.134,0.126,0.011,0.066,0.091,0.108,0.082,0.134,0.112,0,0,0,0,0,0,0,0,0,0,388.4597691
0.085,0.051,0.029,0.092,0.131,0.101,0.136,0.104,0.121,0.15,0,0,0,0,0,0,0,0,0,0,523.0472073
0.11,0.118,0.143,0.059,0.17,0.04,0.041,0.094,0.059,0.166,0,0,0,0,0,0,0,0,0,0,444.1692469
0.034,0.156,0.124,0.136,0.075,0.125,0.027,0.137,0.156,0.03,0,0,0,0,0,0,0,0,0,0,932.9575515
0.078,0.074,0.006,0.179,0.13,0.111,0.125,0.014,0.109,0.174,0,0,0,0,0,0,0,0,0,0,552.1301078
0.079,0.077,0.023,0.047,0.193,0.1,0.049,0.09,0.203,0.139,0,0,0,0,0,0,0,0,0,0,547.8354197
0.164,0.141,0.017,0.047,0.106,0.185,0.042,0.154,0.009,0.135,0,0,0,0,0,0,0,0,0,0,345.060944
0.101,0.129,0.115,0.04,0.057,0.053,0.11,0.098,0.138,0.159,0,0,0,0,0,0,0,0,0,0,468.9024104
0.121,0.224,0.196,0.015,0.021,0.008,0.054,0.19,0.053,0.118,0,0,0,0,0,0,0,0,0,0,418.1376419
0.109,0.194,0.046,0.044,0.02,0.197,0.015,0.232,0.021,0.122,0,0,0,0,0,0,0,0,0,0,446.7751917
0.026,0.094,0.095,0.114,0.167,0.096,0.146,0.085,0.112,0.065,0,0,0,0,0,0,0,0,0,0,1106.204235
0.052,0.07,0.15,0.01,0.051,0.154,0.193,0.149,0.044,0.127,0,0,0,0,0,0,0,0,0,0,713.5145343
0.024,0.235,0.057,0.156,0.124,0.196,0.013,0.086,0.062,0.047,0,0,0,0,0,0,0,0,0,0,1162.332366
0.048,0.173,0.147,0.087,0.15,0.027,0.027,0.127,0.146,0.068,0,0,0,0,0,0,0,0,0,0,750.0400733
0.005,0.112,0.138,0.056,0.088,0.111,0.105,0.069,0.193,0.123,0,0,0,0,0,0,0,0,0,0,3139.886411
0.055,0.181,0.166,0.099,0.111,0.128,0.142,0.013,0.066,0.039,0,0,0,0,0,0,0,0,0,0,687.9272521
0.113,0.126,0.085,0.01,0.02,0.11,0.147,0.125,0.144,0.12,0,0,0,0,0,0,0,0,0,0,436.8215809
0.116,0.11,0.037,0.147,0.017,0.138,0.081,0.125,0.11,0.119,0,0,0,0,0,0,0,0,0,0,429.5988932
0.178,0.121,0.042,0.131,0.028,0.167,0.049,0.074,0.159,0.051,0,0,0,0,0,0,0,0,0,0,327.6114754
0.089,0.16,0.143,0.124,0.086,0.004,0.159,0.078,0.118,0.039,0,0,0,0,0,0,0,0,0,0,507.6973208
0.194,0.014,0.119,0.075,0.193,0.143,0.058,0.007,0.108,0.089,0,0,0,0,0,0,0,0,0,0,310.2245733
0.017,0.009,0.168,0.164,0.025,0.161,0.031,0.17,0.174,0.081,0,0,0,0,0,0,0,0,0,0,1449.637842
0.042,0.101,0.192,0.017,0.069,0.054,0.035,0.216,0.234,0.04,0,0,0,0,0,0,0,0,0,0,816.7351143
0.085,0.033,0.165,0.143,0.034,0.177,0.188,0.042,0.071,0.062,0,0,0,0,0,0,0,0,0,0,522.789032
0.175,0.193,0.01,0.065,0.049,0.094,0.085,0.009,0.185,0.135,0,0,0,0,0,0,0,0,0,0,331.1722239
0.057,0.024,0.198,0.117,0.123,0.036,0.1,0.234,0.016,0.095,0,0,0,0,0,0,0,0,0,0,673.0704092
0.199,0.071,0.027,0.096,0.172,0.022,0.164,0.051,0.138,0.06,0,0,0,0,0,0,0,0,0,0,305.2795048
0.104,0.132,0.069,0.116,0.103,0.093,0.079,0.146,0.144,0.014,0,0,0,0,0,0,0,0,0,0,460.2120599
0.067,0.151,0.014,0.14,0.155,0.07,0.103,0.048,0.121,0.131,0,0,0,0,0,0,0,0,0,0,607.6691018
0.143,0.152,0.01,0.133,0.089,0.105,0.02,0.107,0.105,0.136,0,0,0,0,0,0,0,0,0,0,376.3153809
0.146,0.072,0.052,0.127,0.165,0.161,0.051,0.041,0.035,0.15,0,0,0,0,0,0,0,0,0,0,371.3912989
0.13,0.063,0.145,0.081,0.181,0.089,0.041,0.021,0.075,0.174,0,0,0,0,0,0,0,0,0,0,399.6741358
0.187,0.055,0.189,0.077,0.138,0.157,0.017,0.111,0.012,0.057,0,0,0,0,0,0,0,0,0,0,317.4787256
0.089,0.07,0.158,0.035,0.041,0.083,0.167,0.163,0.048,0.146,0,0,0,0,0,0,0,0,0,0,507.9465388
0.054,0.129,0.015,0.059,0.126,0.076,0.2,0.155,0.114,0.072,0,0,0,0,0,0,0,0,0,0,696.7050702
0.057,0.144,0.162,0.112,0.142,0.067,0.053,0.151,0.09,0.022,0,0,0,0,0,0,0,0,0,0,672.7321047
0.098,0.108,0.042,0.109,0.116,0.026,0.136,0.132,0.049,0.184,0,0,0,0,0,0,0,0,0,0,477.9356014
0.052,0.206,0.072,0.031,0.206,0.022,0.039,0.165,0.179,0.028,0,0,0,0,0,0,0,0,0,0,713.1528604
0.006,0.052,0.115,0.137,0.128,0.126,0.134,0.095,0.139,0.068,0,0,0,0,0,0,0,0,0,0,2807.487171
0.044,0.152,0.039,0.116,0.208,0.047,0.029,0.204,0.113,0.048,0,0,0,0,0,0,0,0,0,0,792.7110469
0.128,0.01,0.12,0.104,0.113,0.127,0.122,0.024,0.13,0.122,0,0,0,0,0,0,0,0,0,0,403.6878232
0.076,0.173,0.105,0.06,0.089,0.072,0.167,0.133,0.067,0.058,0,0,0,0,0,0,0,0,0,0,561.0326596
0.122,0.136,0.038,0.081,0.115,0.043,0.06,0.188,0.058,0.159,0,0,0,0,0,0,0,0,0,0,416.1124545
0.165,0.031,0.011,0.101,0.071,0.155,0.15,0.104,0.151,0.061,0,0,0,0,0,0,0,0,0,0,343.816472
0.095,0.006,0.178,0.167,0.205,0.01,0.088,0.015,0.193,0.043,0,0,0,0,0,0,0,0,0,0,487.3059496
0.133,0.041,0.105,0.08,0.124,0.098,0.085,0.077,0.107,0.15,0,0,0,0,0,0,0,0,0,0,394.0254563
0.162,0.093,0.058,0.092,0.093,0.095,0.067,0.138,0.135,0.067,0,0,0,0,0,0,0,0,0,0,347.7713426
0.091,0.179,0.064,0.011,0.034,0.09,0.065,0.239,0.154,0.073,0,0,0,0,0,0,0,0,0,0,500.8646962
0.013,0.18,0.187,0.21,0.153,0.072,0.01,0.013,0.145,0.017,0,0,0,0,0,0,0,0,0,0,1712.859324
0.202,0.148,0.007,0.032,0.022,0.07,0.18,0.1,0.182,0.057,0,0,0,0,0,0,0,0,0,0,302.418963
0.045,0.008,0.138,0.111,0.173,0.13,0.113,0.01,0.167,0.105,0,0,0,0,0,0,0,0,0,0,781.8397267
0.185,0.031,0.018,0.123,0.109,0.138,0.189,0.054,0.037,0.116,0,0,0,0,0,0,0,0,0,0,319.7408278
0.132,0.112,0.107,0.138,0.12,0.031,0.016,0.107,0.126,0.111,0,0,0,0,0,0,0,0,0,0,395.8256566
0.05,0.129,0.13,0.105,0.059,0.161,0.007,0.057,0.159,0.143,0,0,0,0,0,0,0,0,0,0,731.1778253
0.143,0.155,0.016,0.017,0.032,0.131,0.167,0.11,0.156,0.073,0,0,0,0,0,0,0,0,0,0,376.3738746
0.044,0.022,0.123,0.181,0.033,0.171,0.128,0.066,0.095,0.137,0,0,0,0,0,0,0,0,0,0,793.026477
0.076,0.014,0.126,0.143,0.012,0.136,0.102,0.139,0.11,0.142,0,0,0,0,0,0,0,0,0,0,561.3470805
0.023,0.136,0.161,0.091,0.119,0.013,0.14,0.118,0.139,0.06,0,0,0,0,0,0,0,0,0,0,1195.243117
0.092,0.013,0.104,0.129,0.104,0.163,0.169,0.082,0.088,0.056,0,0,0,0,0,0,0,0,0,0,497.3816082
0.006,0.155,0.152,0.106,0.088,0.106,0.158,0.015,0.103,0.111,0,0,0,0,0,0,0,0,0,0,2773.277742
0.139,0.143,0.136,0.12,0.023,0.004,0.086,0.161,0.137,0.051,0,0,0,0,0,0,0,0,0,0,383.0900942
0.19,0.11,0.141,0.171,0.056,0.019,0.098,0.145,0.014,0.056,0,0,0,0,0,0,0,0,0,0,314.2879464
0.156,0.1,0.007,0.143,0.107,0.083,0.03,0.209,0.137,0.028,0,0,0,0,0,0,0,0,0,0,356.1817552
0.021,0.106,0.099,0.142,0.107,0.167,0.047,0.012,0.206,0.093,0,0,0,0,0,0,0,0,0,0,1266.677582
0.181,0.038,0.064,0.099,0.17,0.051,0.062,0.182,0.068,0.085,0,0,0,0,0,0,0,0,0,0,324.1926329
0.094,0.049,0.096,0.067,0.125,0.089,0.152,0.049,0.135,0.144,0,0,0,0,0,0,0,0,0,0,490.7374736
0.134,0.132,0.093,0.043,0.04,0.053,0.111,0.143,0.115,0.136,0,0,0,0,0,0,0,0,0,0,392.1512009
0.153,0.151,0.064,0.174,0.067,0.081,0.022,0.044,0.13,0.114,0,0,0,0,0,0,0,0,0,0,360.5142196
0.053,0.124,0.162,0.076,0.164,0.164,0.083,0.044,0.048,0.082,0,0,0,0,0,0,0,0,0,0,704.4060438
0.018,0.045,0.193,0.222,0.157,0.069,0.196,0.011,0.057,0.032,0,0,0,0,0,0,0,0,0,0,1395.254669
0.156,0.096,0.032,0.033,0.177,0.08,0.218,0.01,0.029,0.169,0,0,0,0,0,0,0,0,0,0,356.1817512
0.257,0.109,0.086,0.094,0.139,0.015,0.006,0.037,0.11,0.147,0,0,0,0,0,0,0,0,0,0,259.4953048
0.116,0.122,0.061,0.204,0.129,0.09,0.04,0.007,0.097,0.134,0,0,0,0,0,0,0,0,0,0,429.4746262
0.172,0.232,0.012,0.194,0.031,0.058,0.078,0.011,0.091,0.121,0,0,0,0,0,0,0,0,0,0,334.7361595
0.133,0.043,0.174,0.156,0.103,0.058,0.087,0.058,0.036,0.152,0,0,0,0,0,0,0,0,0,0,393.9269936
0.138,0.111,0.094,0.138,0.095,0.097,0.019,0.096,0.153,0.059,0,0,0,0,0,0,0,0,0,0,384.8511704
0.083,0.056,0.056,0.092,0.153,0.176,0.019,0.06,0.156,0.149,0,0,0,0,0,0,0,0,0,0,530.904431
0.101,0.086,0.138,0.141,0.147,0.056,0.176,0.101,0.038,0.016,0,0,0,0,0,0,0,0,0,0,468.713373
0.019,0.045,0.008,0.063,0.176,0.18,0.161,0.126,0.123,0.099,0,0,0,0,0,0,0,0,0,0,1351.755013
0.172,0.177,0.068,0.072,0.069,0.019,0.173,0.011,0.161,0.078,0,0,0,0,0,0,0,0,0,0,334.7862064
0.005,0.116,0.03,0.2,0.102,0.2,0.164,0.143,0.033,0.007,0,0,0,0,0,0,0,0,0,0,3129.684095
0.023,0.128,0.048,0.116,0.137,0.023,0.156,0.154,0.099,0.116,0,0,0,0,0,0,0,0,0,0,1196.079714
0.164,0.108,0.012,0.074,0.128,0.123,0.078,0.149,0.095,0.069,0,0,0,0,0,0,0,0,0,0,345.0816625
0.098,0.042,0.025,0.061,0.106,0.085,0.084,0.251,0.233,0.015,0,0,0,0,0,0,0,0,0,0,478.1213063
0.08,0.073,0.121,0.124,0.089,0.099,0.082,0.051,0.095,0.186,0,0,0,0,0,0,0,0,0,0,543.2934307
